"","b_0","se_0","p_0","nm_0","st0","tau2_CC_0","b_1","se_1","p_1","nm_1","st1","tau2_CC_1","n","k_cluster","dclust"
"1",40.9526883739497,19.0228144465317,0.0313328567160346,"intrcpt","**",6355.95330031469,-0.0809756795786565,0.147047816987582,0.581855912021389,"intrcpt","",0.257001744271313,681,19,0
"2",8.9061323839929,1.68476397557384,1.24829477345431e-07,"TBTRUE","***",6355.95330031469,-0.208719416252757,0.0566543505189571,0.00022952606919382,"TBTRUE","***",0.257001744271313,681,19,0
"3",33.1182852012626,13.8406569523578,0.0167191633019018,"intrcpt","**",3208.90202028071,-0.15192133485593,0.224172864725901,0.497963667857899,"intrcpt","",0.700976726282373,681,19,10
"4",6.57172711725446,1.77932501719376,0.000221291156811528,"TBTRUE","***",3208.90202028071,-0.066151985572965,0.0638345040937118,0.30006009484173,"TBTRUE","",0.700976726282373,681,19,10
"5",28.3859231782106,13.3958076523543,0.0340891625512155,"intrcpt","**",3021.10668656782,-0.197369008017813,0.304921573385104,0.517452075864982,"intrcpt","",1.44586014586543,681,19,20
"6",11.9058248181928,1.76576733092111,1.55600137132411e-11,"TBTRUE","***",3021.10668656782,-0.0263434464764742,0.0632687579266427,0.677136574436567,"TBTRUE","",1.44586014586543,681,19,20
"7",29.6113629978235,14.1020255278587,0.0357468763814827,"intrcpt","**",3381.95845459198,-0.211018628158891,0.311797690871804,0.498545169034774,"intrcpt","",1.53010401908638,681,19,30
"8",13.0000939010897,1.75125660560502,1.14242181977335e-13,"TBTRUE","***",3381.95845459198,-0.0355202938020658,0.0614301963234896,0.563114216464801,"TBTRUE","",1.53010401908638,681,19,30
"9",30.3491199362477,14.4879233414273,0.0361898915787416,"intrcpt","**",3585.90842504049,-0.216333569144911,0.320546811133211,0.499746185980732,"intrcpt","",1.62708414025108,681,19,40
"10",12.5135036481119,1.74731482942444,7.97628700187062e-13,"TBTRUE","***",3585.90842504049,-0.0481365273863201,0.0607426897295012,0.428088903239622,"TBTRUE","",1.62708414025108,681,19,40
"11",31.4760115054633,15.0163433741304,0.0360718199287409,"intrcpt","**",3870.33055602927,-0.215326056751023,0.317030261230314,0.497012939166519,"intrcpt","",1.58458454059371,681,19,50
"12",11.7426694289012,1.73783280034352,1.4080371544569e-11,"TBTRUE","***",3870.33055602927,-0.0450402923026303,0.0605419739588156,0.456905817549464,"TBTRUE","",1.58458454059371,681,19,50
"13",32.7898529394072,15.6090597159357,0.0356678653540543,"intrcpt","**",4199.71028268455,-0.205361512818099,0.299695415732383,0.493196220893007,"intrcpt","",1.39340599736429,681,19,60
"14",10.9158446609529,1.72785522444441,2.65709758465098e-10,"TBTRUE","***",4199.71028268455,-0.0440076089148804,0.0603703355436557,0.466025633183809,"TBTRUE","",1.39340599736429,681,19,60
"15",33.9097222625633,16.1097801660073,0.035298684264076,"intrcpt","**",4487.53666108058,-0.193116995224441,0.277706958777647,0.486805616904396,"intrcpt","",1.1701181515962,681,19,70
"16",10.2580373765139,1.72062562823268,2.49464171126031e-09,"TBTRUE","***",4487.53666108058,-0.0420730890535784,0.0604090057587393,0.48613423994774,"TBTRUE","",1.1701181515962,681,19,70
"17",34.7949412677859,16.4968013341152,0.0349279082607866,"intrcpt","**",4716.24391125451,-0.181183369320026,0.2561852752831,0.479420024273871,"intrcpt","",0.971418002561637,681,19,80
"18",9.77147974995704,1.7153273585034,1.22242810221347e-08,"TBTRUE","***",4716.24391125451,-0.040274648451673,0.060441964559391,0.505196449278214,"TBTRUE","",0.971418002561637,681,19,80
"19",35.5037333004814,16.7997150097727,0.034570539146425,"intrcpt","**",4899.09967914533,-0.170296485262142,0.237829725748176,0.473964343767284,"intrcpt","",0.817151830000477,681,19,90
"20",9.42920730540082,1.71145974780495,3.59950170175836e-08,"TBTRUE","***",4899.09967914533,-0.0403144966165415,0.0604309823225787,0.504697814500795,"TBTRUE","",0.817151830000477,681,19,90
"21",36.0837347397493,17.0396792027542,0.0342064210257856,"intrcpt","**",5046.43355637835,-0.160583053078716,0.222997072919378,0.471455529170069,"intrcpt","",0.702643861241853,681,19,100
"22",9.18388427717504,1.70840546327002,7.62834818349573e-08,"TBTRUE","***",5046.43355637835,-0.0428172728544761,0.0603338699396606,0.477907408216444,"TBTRUE","",0.702643861241853,681,19,100
