"","b_0","se_0","p_0","nm_0","st0","tau2_CC_0","b_1","se_1","p_1","nm_1","st1","tau2_CC_1","n","k_cluster","nMin"
"1",23.4977867173312,13.7492242280725,0.0874460656990047,"intrcpt","*",4441.01317772622,2.01841651095273,1.9261379344264,0.294680718489747,"intrcpt","",92.4529432754547,956,26,10
"2",8.02322342438059,1.56464001289138,2.93085575810234e-07,"TBTRUE","***",4441.01317772622,-0.0447147039996929,0.0567097132022857,0.430413628101841,"TBTRUE","",92.4529432754547,956,26,10
"3",40.9526883739497,19.0228144465317,0.0313328567160346,"intrcpt","**",6355.95330031469,-0.0809756795786565,0.147047816987582,0.581855912021389,"intrcpt","",0.257001744271313,681,19,20
"4",8.9061323839929,1.68476397557384,1.24829477345431e-07,"TBTRUE","***",6355.95330031469,-0.208719416252757,0.0566543505189571,0.00022952606919382,"TBTRUE","***",0.257001744271313,681,19,20
"5",28.4059733109354,29.0045982865424,0.327401624134923,"intrcpt","",12387.3489335485,0.0452452450308303,0.176828054499278,0.798050125307492,"intrcpt","",0.358448561845835,505,15,30
"6",5.91908367870564,1.8022304767701,0.0010223238383533,"TBTRUE","***",12387.3489335485,-0.0672552153552328,0.0638495375795522,0.292185598289268,"TBTRUE","",0.358448561845835,505,15,30
"7",34.2887262546502,30.0227244841576,0.253415603183016,"intrcpt","",13299.611158781,0.210686841406949,0.156155907662738,0.177270080478109,"intrcpt","",0.249252488860244,421,15,40
"8",5.07643325087253,1.78818732974275,0.00452734478242488,"TBTRUE","***",13299.611158781,-0.237186156891357,0.061225467348009,0.000107072771739972,"TBTRUE","***",0.249252488860244,421,15,40
"9",24.0940853651465,30.6658670392215,0.432044913621588,"intrcpt","",12605.6107172914,0.115015281523778,0.20666209275067,0.57784321135341,"intrcpt","",0.480542239976797,345,14,50
"10",6.07111258194994,1.88681541109201,0.00129245193519618,"TBTRUE","***",12605.6107172914,-0.117541819681156,0.0634801853736348,0.0640789629268435,"TBTRUE","*",0.480542239976797,345,14,50
"11",36.7285354622248,32.3346497239933,0.256003507696273,"intrcpt","",13594.1889729892,-0.000346733261639506,0.190490755237481,0.998547682993498,"intrcpt","",0.337333476051014,300,14,60
"12",9.79383392140496,1.79937244838177,5.24152314909205e-08,"TBTRUE","***",13594.1889729892,-0.177006280704841,0.0628907212697323,0.00488523421966993,"TBTRUE","***",0.337333476051014,300,14,60
"13",16.1553921011491,21.8017210296364,0.458684629307199,"intrcpt","",4697.55301053225,-0.0998320389258186,0.206522312972984,0.628814660252695,"intrcpt","",0.335865344031413,259,11,70
"14",18.0197064448514,1.9034719825012,2.88667002809393e-21,"TBTRUE","***",4697.55301053225,-0.332373441818217,0.0697198659117264,1.86738761582052e-06,"TBTRUE","***",0.335865344031413,259,11,70
"15",34.0998693153617,21.483115893614,0.112447671484853,"intrcpt","",4311.78390546929,-0.108077873810761,0.234913415251639,0.645462130349045,"intrcpt","",0.438518256459878,222,10,80
"16",20.6880265442632,2.00693896548399,6.46688084585483e-25,"TBTRUE","***",4311.78390546929,-0.444425041645047,0.0738264565770497,1.74566402614014e-09,"TBTRUE","***",0.438518256459878,222,10,80
"17",40.5138359902444,24.4203975407568,0.0971125208416641,"intrcpt","*",5298.19377652386,-0.175663703726262,0.177684379888077,0.322845317634988,"intrcpt","",0.235355682152667,205,9,90
"18",15.5048223141675,1.99022837070318,6.67582933018627e-15,"TBTRUE","***",5298.19377652386,-0.325344116514896,0.0747399927301372,1.34279540776146e-05,"TBTRUE","***",0.235355682152667,205,9,90
"19",25.4791898166935,19.112802431933,0.182500484792556,"intrcpt","",3187.85343713911,0.0699490708771754,0.157108827592333,0.65615581359879,"intrcpt","",0.173533242246943,191,9,100
"20",17.7566022555469,2.05295037113671,5.1812165467894e-18,"TBTRUE","***",3187.85343713911,-0.331823946638414,0.0739991592754613,7.32022946730971e-06,"TBTRUE","***",0.173533242246943,191,9,100
